Year,Team,matches_total,wins_total,draws_total,losses_total,goals_for_total,goals_against_total,avg_attendance,away_matches,home_matches,away_wins,home_wins,away_avg_attendance,home_avg_attendance,win_attendance_avg,away_win_attendance_avg,home_win_attendance_avg,goal_balance_total,win_rate_total,home_win_rate,away_win_rate,home_away_win_rate_delta,attendance_win_minus_avg,home_away_win_attendance_delta,HostCountry,Winner,QualifiedTeams,tournament_matches_played,tournament_attendance,is_host_team,is_world_cup_winner
1930.0,Argentina,5,4,0,1,18.0,9.0,49640.0,1.0,4.0,0.0,4.0,68346.0,44963.5,44963.5,0.0,44963.5,9.0,0.8,1.0,0.0,1.0,-4676.5,44963.5,Uruguay,Uruguay,13,18,590549,0,0
1930.0,Belgium,2,0,0,2,0.0,4.0,15173.0,2.0,0.0,0.0,0.0,15173.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,-15173.0,0.0,Uruguay,Uruguay,13,18,590549,0,0
1930.0,Bolivia,2,0,0,2,0.0,8.0,21886.0,2.0,0.0,0.0,0.0,21886.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,-21886.0,0.0,Uruguay,Uruguay,13,18,590549,0,0
1930.0,Brazil,2,1,0,1,5.0,2.0,24762.5,1.0,1.0,0.0,1.0,24059.0,25466.0,25466.0,0.0,25466.0,3.0,0.5,1.0,0.0,1.0,703.5,25466.0,Uruguay,Uruguay,13,18,590549,0,0
1930.0,Chile,3,2,0,1,5.0,3.0,17569.333333333332,1.0,2.0,0.0,2.0,41459.0,5624.5,5624.5,0.0,5624.5,2.0,0.6666666666666666,1.0,0.0,1.0,-11944.833333333332,5624.5,Uruguay,Uruguay,13,18,590549,0,0
1930.0,France,3,1,0,2,4.0,3.0,9951.0,2.0,1.0,0.0,1.0,12704.5,4444.0,4444.0,0.0,4444.0,1.0,0.3333333333333333,1.0,0.0,1.0,-5507.0,4444.0,Uruguay,Uruguay,13,18,590549,0,0
1930.0,Mexico,3,0,0,3,4.0,13.0,18597.666666666668,3.0,0.0,0.0,0.0,18597.666666666668,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,-18597.666666666668,0.0,Uruguay,Uruguay,13,18,590549,0,0
1930.0,Paraguay,2,1,0,1,1.0,3.0,15153.0,1.0,1.0,0.0,1.0,18306.0,12000.0,12000.0,0.0,12000.0,-2.0,0.5,1.0,0.0,1.0,-3153.0,12000.0,Uruguay,Uruguay,13,18,590549,0,0
1930.0,Peru,2,0,0,2,1.0,4.0,30142.0,2.0,0.0,0.0,0.0,30142.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-30142.0,0.0,Uruguay,Uruguay,13,18,590549,0,0
1930.0,Romania,2,1,0,1,3.0,5.0,36285.5,1.0,1.0,0.0,1.0,70022.0,2549.0,2549.0,0.0,2549.0,-2.0,0.5,1.0,0.0,1.0,-33736.5,2549.0,Uruguay,Uruguay,13,18,590549,0,0
1930.0,USA,3,2,0,1,7.0,6.0,36512.666666666664,1.0,2.0,0.0,2.0,72886.0,18326.0,18326.0,0.0,18326.0,1.0,0.6666666666666666,1.0,0.0,1.0,-18186.666666666664,18326.0,Uruguay,Uruguay,13,18,590549,0,0
1930.0,Uruguay,4,4,0,0,15.0,3.0,68992.5,0.0,4.0,0.0,4.0,0.0,68992.5,68992.5,0.0,68992.5,12.0,1.0,1.0,0.0,0.0,0.0,68992.5,Uruguay,Uruguay,13,18,590549,1,1
1930.0,Yugoslavia,3,2,0,1,7.0,7.0,40744.0,1.0,2.0,0.0,2.0,79867.0,21182.5,21182.5,0.0,21182.5,0.0,0.6666666666666666,1.0,0.0,1.0,-19561.5,21182.5,Uruguay,Uruguay,13,18,590549,0,0
