Year,Team,matches,wins,draws,losses,goals_for,goals_against,goal_balance,points,points_per_match
1930.0,Argentina,5,4,0,1,18.0,9.0,9.0,12,2.4
1930.0,Uruguay,4,4,0,0,15.0,3.0,12.0,12,3.0
1930.0,USA,3,2,0,1,7.0,6.0,1.0,6,2.0
1930.0,Yugoslavia,3,2,0,1,7.0,7.0,0.0,6,2.0
1930.0,Chile,3,2,0,1,5.0,3.0,2.0,6,2.0
1930.0,Brazil,2,1,0,1,5.0,2.0,3.0,3,1.5
1930.0,France,3,1,0,2,4.0,3.0,1.0,3,1.0
1930.0,Romania,2,1,0,1,3.0,5.0,-2.0,3,1.5
1930.0,Paraguay,2,1,0,1,1.0,3.0,-2.0,3,1.5
1930.0,Mexico,3,0,0,3,4.0,13.0,-9.0,0,0.0
1930.0,Peru,2,0,0,2,1.0,4.0,-3.0,0,0.0
1930.0,Belgium,2,0,0,2,0.0,4.0,-4.0,0,0.0
1930.0,Bolivia,2,0,0,2,0.0,8.0,-8.0,0,0.0
1934.0,Italy,5,4,1,0,12.0,3.0,9.0,13,2.6
1934.0,Germany,4,3,0,1,11.0,8.0,3.0,9,2.25
1934.0,Czechoslovakia,4,3,0,1,9.0,6.0,3.0,9,2.25
1934.0,Austria,4,2,0,2,7.0,7.0,0.0,6,1.5
1934.0,Hungary,2,1,0,1,5.0,4.0,1.0,3,1.5
1934.0,Switzerland,2,1,0,1,5.0,5.0,0.0,3,1.5
1934.0,Spain,3,1,1,1,4.0,3.0,1.0,4,1.3333333333333333
1934.0,Sweden,2,1,0,1,4.0,4.0,0.0,3,1.5
1934.0,Argentina,1,0,0,1,2.0,3.0,-1.0,0,0.0
1934.0,Belgium,1,0,0,1,2.0,5.0,-3.0,0,0.0
1934.0,Egypt,1,0,0,1,2.0,4.0,-2.0,0,0.0
1934.0,France,1,0,0,1,2.0,3.0,-1.0,0,0.0
1934.0,Netherlands,1,0,0,1,2.0,3.0,-1.0,0,0.0
1934.0,Brazil,1,0,0,1,1.0,3.0,-2.0,0,0.0
1934.0,Romania,1,0,0,1,1.0,2.0,-1.0,0,0.0
1934.0,USA,1,0,0,1,1.0,7.0,-6.0,0,0.0
1938.0,Italy,4,4,0,0,11.0,5.0,6.0,12,3.0
1938.0,Hungary,4,3,0,1,15.0,5.0,10.0,9,2.25
1938.0,Brazil,5,3,1,1,14.0,11.0,3.0,10,2.0
1938.0,Sweden,3,1,0,2,11.0,9.0,2.0,3,1.0
1938.0,Cuba,3,1,1,1,5.0,12.0,-7.0,4,1.3333333333333333
1938.0,Czechoslovakia,3,1,1,1,5.0,3.0,2.0,4,1.3333333333333333
1938.0,Switzerland,3,1,1,1,5.0,5.0,0.0,4,1.3333333333333333
1938.0,France,2,1,0,1,4.0,4.0,0.0,3,1.5
1938.0,Poland,1,0,0,1,5.0,6.0,-1.0,0,0.0
1938.0,Romania,2,0,1,1,4.0,5.0,-1.0,1,0.5
1938.0,Germany,2,0,1,1,3.0,5.0,-2.0,1,0.5
1938.0,Belgium,1,0,0,1,1.0,3.0,-2.0,0,0.0
1938.0,Norway,1,0,0,1,1.0,2.0,-1.0,0,0.0
1938.0,Dutch East Indies,1,0,0,1,0.0,6.0,-6.0,0,0.0
1938.0,Netherlands,1,0,0,1,0.0,3.0,-3.0,0,0.0
1950.0,Brazil,6,4,1,1,22.0,6.0,16.0,13,2.1666666666666665
1950.0,Uruguay,4,3,1,0,15.0,5.0,10.0,10,2.5
1950.0,Spain,6,3,1,2,10.0,12.0,-2.0,10,1.6666666666666667
1950.0,Sweden,5,2,1,2,11.0,15.0,-4.0,7,1.4
1950.0,Yugoslavia,3,2,0,1,7.0,3.0,4.0,6,2.0
1950.0,Chile,3,1,0,2,5.0,6.0,-1.0,3,1.0
1950.0,Italy,2,1,0,1,4.0,3.0,1.0,3,1.5
1950.0,Switzerland,3,1,1,1,4.0,6.0,-2.0,4,1.3333333333333333
1950.0,USA,3,1,0,2,4.0,8.0,-4.0,3,1.0
1950.0,England,3,1,0,2,2.0,2.0,0.0,3,1.0
1950.0,Mexico,3,0,0,3,2.0,10.0,-8.0,0,0.0
1950.0,Paraguay,2,0,1,1,2.0,4.0,-2.0,1,0.5
1950.0,Bolivia,1,0,0,1,0.0,8.0,-8.0,0,0.0
1954.0,Germany FR,6,5,0,1,25.0,14.0,11.0,15,2.5
1954.0,Hungary,5,4,0,1,27.0,10.0,17.0,12,2.4
1954.0,Austria,5,4,0,1,17.0,12.0,5.0,12,2.4
1954.0,Uruguay,5,3,0,2,16.0,9.0,7.0,9,1.8
1954.0,Switzerland,4,2,0,2,11.0,11.0,0.0,6,1.5
1954.0,Turkey,3,1,0,2,10.0,11.0,-1.0,3,1.0
1954.0,Brazil,3,1,1,1,8.0,5.0,3.0,4,1.3333333333333333
1954.0,England,3,1,1,1,8.0,8.0,0.0,4,1.3333333333333333
1954.0,Italy,3,1,0,2,6.0,7.0,-1.0,3,1.0
1954.0,France,2,1,0,1,3.0,3.0,0.0,3,1.5
1954.0,Yugoslavia,3,1,1,1,2.0,3.0,-1.0,4,1.3333333333333333
1954.0,Belgium,2,0,1,1,5.0,8.0,-3.0,1,0.5
1954.0,Mexico,2,0,0,2,2.0,8.0,-6.0,0,0.0
1954.0,Czechoslovakia,2,0,0,2,0.0,7.0,-7.0,0,0.0
1954.0,Korea Republic,2,0,0,2,0.0,16.0,-16.0,0,0.0
1954.0,Scotland,2,0,0,2,0.0,8.0,-8.0,0,0.0
1958.0,Brazil,6,5,1,0,16.0,4.0,12.0,16,2.6666666666666665
1958.0,France,6,4,0,2,23.0,15.0,8.0,12,2.0
1958.0,Sweden,6,4,1,1,12.0,7.0,5.0,13,2.1666666666666665
1958.0,Germany FR,6,2,2,2,12.0,14.0,-2.0,8,1.3333333333333333
1958.0,Northern Ireland,5,2,1,2,6.0,10.0,-4.0,7,1.4
1958.0,Soviet Union,5,2,1,2,5.0,6.0,-1.0,7,1.4
1958.0,Czechoslovakia,4,1,1,2,9.0,6.0,3.0,4,1.0
1958.0,Paraguay,3,1,1,1,9.0,12.0,-3.0,4,1.3333333333333333
1958.0,Hungary,4,1,1,2,7.0,5.0,2.0,4,1.0
1958.0,Yugoslavia,4,1,2,1,7.0,7.0,0.0,5,1.25
1958.0,Argentina,3,1,0,2,5.0,10.0,-5.0,3,1.0
1958.0,Wales,5,1,3,1,4.0,4.0,0.0,6,1.2
1958.0,England,4,0,3,1,4.0,5.0,-1.0,3,0.75
1958.0,Scotland,3,0,1,2,4.0,6.0,-2.0,1,0.3333333333333333
1958.0,Austria,3,0,1,2,2.0,7.0,-5.0,1,0.3333333333333333
1958.0,Mexico,3,0,1,2,1.0,8.0,-7.0,1,0.3333333333333333
1962.0,Brazil,6,5,1,0,14.0,5.0,9.0,16,2.6666666666666665
1962.0,Chile,6,4,0,2,10.0,8.0,2.0,12,2.0
1962.0,Yugoslavia,6,3,0,3,10.0,7.0,3.0,9,1.5
1962.0,Czechoslovakia,6,3,1,2,7.0,7.0,0.0,10,1.6666666666666667
1962.0,Soviet Union,4,2,1,1,9.0,7.0,2.0,7,1.75
1962.0,Hungary,4,2,1,1,8.0,3.0,5.0,7,1.75
1962.0,Germany FR,4,2,1,1,4.0,2.0,2.0,7,1.75
1962.0,England,4,1,1,2,5.0,6.0,-1.0,4,1.0
1962.0,Uruguay,3,1,0,2,4.0,6.0,-2.0,3,1.0
1962.0,Italy,3,1,1,1,3.0,2.0,1.0,4,1.3333333333333333
1962.0,Mexico,3,1,0,2,3.0,4.0,-1.0,3,1.0
1962.0,Argentina,3,1,1,1,2.0,3.0,-1.0,4,1.3333333333333333
1962.0,Spain,3,1,0,2,2.0,3.0,-1.0,3,1.0
1962.0,Colombia,3,0,1,2,5.0,11.0,-6.0,1,0.3333333333333333
1962.0,Switzerland,3,0,0,3,2.0,8.0,-6.0,0,0.0
1962.0,Bulgaria,3,0,1,2,1.0,7.0,-6.0,1,0.3333333333333333
1966.0,Portugal,6,5,0,1,17.0,8.0,9.0,15,2.5
1966.0,England,6,5,1,0,11.0,3.0,8.0,16,2.6666666666666665
1966.0,Germany FR,6,4,1,1,15.0,6.0,9.0,13,2.1666666666666665
1966.0,Soviet Union,6,4,0,2,10.0,6.0,4.0,12,2.0
1966.0,Hungary,4,2,0,2,8.0,7.0,1.0,6,1.5
1966.0,Argentina,4,2,1,1,4.0,2.0,2.0,7,1.75
1966.0,Korea DPR,4,1,1,2,5.0,9.0,-4.0,4,1.0
1966.0,Brazil,3,1,0,2,4.0,6.0,-2.0,3,1.0
1966.0,Spain,3,1,0,2,4.0,5.0,-1.0,3,1.0
1966.0,Italy,3,1,0,2,2.0,2.0,0.0,3,1.0
1966.0,Uruguay,4,1,2,1,2.0,5.0,-3.0,5,1.25
1966.0,Chile,3,0,1,2,2.0,5.0,-3.0,1,0.3333333333333333
1966.0,France,3,0,1,2,2.0,5.0,-3.0,1,0.3333333333333333
1966.0,Bulgaria,3,0,0,3,1.0,8.0,-7.0,0,0.0
1966.0,Mexico,3,0,2,1,1.0,3.0,-2.0,2,0.6666666666666666
1966.0,Switzerland,3,0,0,3,1.0,9.0,-8.0,0,0.0
1970.0,Brazil,6,6,0,0,19.0,7.0,12.0,18,3.0
1970.0,Germany FR,6,5,0,1,17.0,10.0,7.0,15,2.5
1970.0,Italy,6,3,2,1,10.0,8.0,2.0,11,1.8333333333333333
1970.0,Peru,4,2,0,2,9.0,9.0,0.0,6,1.5
1970.0,Mexico,4,2,1,1,6.0,4.0,2.0,7,1.75
1970.0,Soviet Union,4,2,1,1,6.0,2.0,4.0,7,1.75
1970.0,England,4,2,0,2,4.0,4.0,0.0,6,1.5
1970.0,Uruguay,6,2,1,3,4.0,5.0,-1.0,7,1.1666666666666667
1970.0,Belgium,3,1,0,2,4.0,5.0,-1.0,3,1.0
1970.0,Romania,3,1,0,2,4.0,5.0,-1.0,3,1.0
1970.0,Sweden,3,1,1,1,2.0,2.0,0.0,4,1.3333333333333333
1970.0,Bulgaria,3,0,1,2,5.0,9.0,-4.0,1,0.3333333333333333
1970.0,Czechoslovakia,3,0,0,3,2.0,7.0,-5.0,0,0.0
1970.0,Morocco,3,0,1,2,2.0,6.0,-4.0,1,0.3333333333333333
1970.0,Israel,3,0,2,1,1.0,3.0,-2.0,2,0.6666666666666666
1970.0,El Salvador,3,0,0,3,0.0,9.0,-9.0,0,0.0
1974.0,Poland,7,6,0,1,16.0,5.0,11.0,18,2.5714285714285716
1974.0,Germany FR,7,6,0,1,13.0,4.0,9.0,18,2.5714285714285716
1974.0,Netherlands,7,5,1,1,15.0,3.0,12.0,16,2.2857142857142856
1974.0,Brazil,7,3,2,2,6.0,4.0,2.0,11,1.5714285714285714
1974.0,Sweden,6,2,2,2,7.0,6.0,1.0,8,1.3333333333333333
1974.0,German DR,6,2,2,2,5.0,5.0,0.0,8,1.3333333333333333
1974.0,Yugoslavia,6,1,2,3,12.0,7.0,5.0,5,0.8333333333333334
1974.0,Argentina,6,1,2,3,9.0,12.0,-3.0,5,0.8333333333333334
1974.0,Italy,3,1,1,1,5.0,4.0,1.0,4,1.3333333333333333
