Year,Datetime,Stage,Stadium,City,HomeTeamName,HomeTeamGoals,AwayTeamGoals,AwayTeamName,Winconditions,Attendance,HalftimeHomeGoals,HalftimeAwayGoals,Referee,Assistant1,Assistant2,RoundID,MatchID,HomeTeamInitials,AwayTeamInitials
1930,1930-07-13 15:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,,4444,3,0,LOMBARDI DOMINGO (URU),CRISTOPHE HENRY (BEL),REGO GILBERTO (BRA),201,1096,FRA,MEX
1930,1930-07-13 15:00,Group 4,Parque Central,Montevideo,USA,3,0,Belgium,,18346,2,0,MACIAS JOSE (ARG),MATEUCCI FRANCISCO (URU),WARNKEN ALBERTO (CHI),201,1090,USA,BEL
1930,1930-07-14 12:45,Group 2,Parque Central,Montevideo,Yugoslavia,2,1,Brazil,,24059,2,0,TEJADA ANIBAL (URU),VALLARINO RICARDO (URU),BALWAY THOMAS (FRA),201,1093,YUG,BRA
1930,1930-07-14 14:50,Group 3,Pocitos,Montevideo,Romania,3,1,Peru,,2549,1,0,WARNKEN ALBERTO (CHI),LANGENUS JEAN (BEL),MATEUCCI FRANCISCO (URU),201,1098,ROU,PER
1930,1930-07-15 16:00,Group 1,Parque Central,Montevideo,Argentina,1,0,France,,23409,0,0,REGO GILBERTO (BRA),SAUCEDO ULISES (BOL),RADULESCU CONSTANTIN (ROU),201,1085,ARG,FRA
1930,1930-07-16 14:45,Group 1,Parque Central,Montevideo,Chile,3,0,Mexico,,9249,1,0,CRISTOPHE HENRY (BEL),APHESTEGUY MARTIN (URU),LANGENUS JEAN (BEL),201,1095,CHI,MEX
1930,1930-07-17 12:45,Group 2,Parque Central,Montevideo,Yugoslavia,4,0,Bolivia,,18306,0,0,MATEUCCI FRANCISCO (URU),LOMBARDI DOMINGO (URU),WARNKEN ALBERTO (CHI),201,1092,YUG,BOL
1930,1930-07-17 14:45,Group 4,Parque Central,Montevideo,USA,3,0,Paraguay,,18306,2,0,MACIAS JOSE (ARG),APHESTEGUY MARTIN (URU),TEJADA ANIBAL (URU),201,1097,USA,PAR
1930,1930-07-18 14:30,Group 3,Estadio Centenario,Montevideo,Uruguay,1,0,Peru,,57735,0,0,LANGENUS JEAN (BEL),BALWAY THOMAS (FRA),CRISTOPHE HENRY (BEL),201,1099,URU,PER
1930,1930-07-19 12:50,Group 1,Estadio Centenario,Montevideo,Chile,1,0,France,,2000,0,0,TEJADA ANIBAL (URU),LOMBARDI DOMINGO (URU),REGO GILBERTO (BRA),201,1094,CHI,FRA
1930,1930-07-19 15:00,Group 1,Estadio Centenario,Montevideo,Argentina,6,3,Mexico,,42100,3,1,SAUCEDO ULISES (BOL),ALONSO GUALBERTO (URU),RADULESCU CONSTANTIN (ROU),201,1086,ARG,MEX
1930,1930-07-20 13:00,Group 2,Estadio Centenario,Montevideo,Brazil,4,0,Bolivia,,25466,1,0,BALWAY THOMAS (FRA),MATEUCCI FRANCISCO (URU),VALLEJO GASPAR (MEX),201,1091,BRA,BOL
1930,1930-07-20 15:00,Group 4,Estadio Centenario,Montevideo,Paraguay,1,0,Belgium,,12000,1,0,VALLARINO RICARDO (URU),MACIAS JOSE (ARG),LOMBARDI DOMINGO (URU),201,1089,PAR,BEL
1930,1930-07-21 14:50,Group 3,Estadio Centenario,Montevideo,Uruguay,4,0,Romania,,70022,4,0,REGO GILBERTO (BRA),WARNKEN ALBERTO (CHI),SAUCEDO ULISES (BOL),201,1100,URU,ROU
1930,1930-07-22 14:45,Group 1,Estadio Centenario,Montevideo,Argentina,3,1,Chile,,41459,2,1,LANGENUS JEAN (BEL),CRISTOPHE HENRY (BEL),SAUCEDO ULISES (BOL),201,1084,ARG,CHI
1930,1930-07-26 14:45,Semi-finals,Estadio Centenario,Montevideo,Argentina,6,1,USA,,72886,1,0,LANGENUS JEAN (BEL),VALLEJO GASPAR (MEX),WARNKEN ALBERTO (CHI),202,1088,ARG,USA
1930,1930-07-27 14:45,Semi-finals,Estadio Centenario,Montevideo,Uruguay,6,1,Yugoslavia,,79867,3,1,REGO GILBERTO (BRA),SAUCEDO ULISES (BOL),BALWAY THOMAS (FRA),202,1101,URU,YUG
1930,1930-07-30 14:15,Final,Estadio Centenario,Montevideo,Uruguay,4,2,Argentina,,68346,1,2,LANGENUS JEAN (BEL),SAUCEDO ULISES (BOL),CRISTOPHE HENRY (BEL),405,1087,URU,ARG
1934,1934-05-27 16:30,Preliminary round,Stadio Benito Mussolini,Turin,Austria,3,2,France,Austria win after extra time,16000,0,0,VAN MOORSEL JOHANNES (NED),CAIRONI CAMILLO (ITA),BAERT LOUIS (BEL),204,1104,AUT,FRA
1934,1934-05-27 16:30,Preliminary round,Giorgio Ascarelli,Naples,Hungary,4,2,Egypt,,9000,2,2,BARLASSINA RINALDO (ITA),DATTILO GENEROSO (ITA),SASSI OTELLO (ITA),204,1119,HUN,EGY
1934,1934-05-27 16:30,Preliminary round,San Siro,Milan,Switzerland,3,2,Netherlands,,33000,2,1,EKLIND IVAN (SWE),BERANEK ALOIS (AUT),BONIVENTO FERRUCCIO (ITA),204,1133,SUI,NED
1934,1934-05-27 16:30,Preliminary round,Littorale,Bologna,Sweden,3,2,Argentina,,14000,1,1,BRAUN EUGEN (AUT),CARRARO ALBINO (ITA),TURBIANI GIUSEPPE (ITA),204,1102,SWE,ARG
1934,1934-05-27 16:30,Preliminary round,Giovanni Berta,Florence,Germany,5,2,Belgium,,8000,1,2,MATTEA FRANCESCO (ITA),MELANDRI ERMENEGILDO (ITA),BAERT JACQUES (FRA),204,1108,GER,BEL
1934,1934-05-27 16:30,Preliminary round,Luigi Ferraris,Genoa,Spain,3,1,Brazil,,21000,3,0,BIRLEM ALFRED (GER),CARMINATI ETTORE (ITA),IVANCSICS MIHALY (HUN),204,1111,ESP,BRA
1934,1934-05-27 16:30,Preliminary round,Nazionale PNF,Rome,Italy,7,1,USA,,25000,3,0,MERCET RENE (SUI),ESCARTIN PEDRO (ESP),ZENISEK BOHUMIL (TCH),204,1135,ITA,USA
1934,1934-05-27 16:30,Preliminary round,Littorio,Trieste,Czechoslovakia,2,1,Romania,,9000,0,1,LANGENUS JEAN (BEL),SCARPI GIUSEPPE (ITA),SCORZONI RAFFAELE (ITA),204,1141,TCH,ROU
1934,1934-05-31 16:30,Quarter-finals,Stadio Benito Mussolini,Turin,Czechoslovakia,3,2,Switzerland,,12000,1,1,BERANEK ALOIS (AUT),MOHAMED YOUSSUF (EGY),BAERT JACQUES (FRA),418,1143,TCH,SUI
1934,1934-05-31 16:30,Quarter-finals,San Siro,Milan,Germany,2,1,Sweden,,3000,0,0,BARLASSINA RINALDO (ITA),MERCET RENE (SUI),VAN MOORSEL JOHANNES (NED),418,1129,GER,SWE
1934,1934-05-31 16:30,Quarter-finals,Giovanni Berta,Florence,Italy,1,1,Spain,,35000,0,0,BAERT LOUIS (BEL),ZENISEK BOHUMIL (TCH),IVANCSICS MIHALY (HUN),418,1122,ITA,ESP
1934,1934-05-31 16:30,Quarter-finals,Littorale,Bologna,Austria,2,1,Hungary,,23000,1,0,MATTEA FRANCESCO (ITA),ESCARTIN PEDRO (ESP),BIRLEM ALFRED (GER),418,1106,AUT,HUN
1934,1934-06-01 16:30,Quarter-finals,Giovanni Berta,Florence,Italy,1,0,Spain,,43000,1,0,MERCET RENE (SUI),IVANCSICS MIHALY (HUN),ZENISEK BOHUMIL (TCH),418,1123,ITA,ESP
1934,1934-06-03 16:30,Semi-finals,San Siro,Milan,Italy,1,0,Austria,,35000,1,0,EKLIND IVAN (SWE),BAERT LOUIS (BEL),ZENISEK BOHUMIL (TCH),3492,1107,ITA,AUT
1934,1934-06-03 16:30,Semi-finals,Nazionale PNF,Rome,Czechoslovakia,3,1,Germany,,15000,1,0,BARLASSINA RINALDO (ITA),BERANEK ALOIS (AUT),ESCARTIN PEDRO (ESP),3492,1130,TCH,GER
1934,1934-06-07 18:00,Match for third place,Giorgio Ascarelli,Naples,Germany,3,2,Austria,,7000,3,1,CARRARO ALBINO (ITA),CAIRONI CAMILLO (ITA),ESCARTIN PEDRO (ESP),3491,1105,GER,AUT
1934,1934-06-10 17:30,Final,Nazionale PNF,Rome,Italy,2,1,Czechoslovakia,Italy win after extra time,55000,0,0,EKLIND IVAN (SWE),BAERT LOUIS (BEL),IVANCSICS MIHALY (HUN),3490,1134,ITA,TCH
1938,1938-06-04 17:00,First round,Parc des Princes,Paris,Switzerland,1,1,Germany,,27152,0,0,LANGENUS JEAN (BEL),MARENCO PAUL (FRA),VAN MOORSEL JOHANNES (NED),206,1165,SUI,GER
1938,1938-06-05 17:00,First round,Velodrome Municipale,Reims,Hungary,6,0,Dutch East Indies,,9000,4,0,CONRIE ROGER (FRA),DE LA SALLE CHARLES (FRA),WEINGARTNER KARL (AUT),206,1173,HUN,INH
1938,1938-06-05 17:00,First round,Stade Olympique,Colombes,France,3,1,Belgium,,30454,2,1,WUETHRICH HANS (SUI),KRIST GUSTAV (TCH),BIRLEM ALFRED (GER),206,1146,FRA,BEL
1938,1938-06-05 17:00,First round,Stade Municipal,Toulouse,Cuba,3,3,Romania,,7000,0,0,SCARPI GIUSEPPE (ITA),VALPREDE FERDINAND (FRA),MERKCX JEAN (FRA),206,1156,CUB,ROU
1938,1938-06-05 17:00,First round,Stade V�lodrome,Marseilles,Italy,2,1,Norway,Italy win after extra time,19000,0,0,BERANEK ALOIS (AUT),BOUTOURE D. (FRA),TREHOU D. (FRA),206,1179,ITA,NOR
